iter	Passed	Remaining
0	0	64
1	1	58
2	2	66
3	2	64
4	3	66
5	4	63
6	4	61
7	5	59
8	5	57
9	6	55
10	6	54
11	7	53
12	7	51
13	8	50
14	8	50
15	9	49
16	9	48
17	10	47
18	10	46
19	11	45
20	12	45
21	12	44
22	13	43
23	13	43
24	14	42
25	14	41
26	15	40
27	15	39
28	16	39
29	16	38
30	17	37
31	17	37
32	17	36
33	18	35
34	18	35
35	19	34
36	20	34
37	20	33
38	21	32
39	21	32
40	22	31
41	22	30
42	22	30
43	23	29
44	23	29
45	24	28
46	24	27
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	27	24
53	28	24
54	28	23
55	29	22
56	29	22
57	30	21
58	30	21
59	31	20
60	31	20
61	32	19
62	32	19
63	33	18
64	33	18
65	34	17
66	34	17
67	35	16
68	35	16
69	36	15
70	36	14
71	37	14
72	37	13
73	38	13
74	38	12
75	39	12
76	39	11
77	40	11
78	41	10
79	41	10
80	42	9
81	43	9
82	43	8
83	44	8
84	45	7
85	46	7
86	46	7
87	47	6
88	48	5
89	48	5
90	49	4
91	50	4
92	50	3
93	51	3
94	51	2
95	52	2
96	52	1
97	53	1
98	54	0
99	54	0
